id,reference,hypothesis,audio_file,scenario
001,今天天气真好我们一起去公园散步吧,今天天气真好我们一起去公园散步吧,BAC009S0724W0121.wav,日常对话
002,我小时候住在杭州西湖边经常去断桥玩,我小时候住在杭州西湖边经常去断桥完,BAC009S0724W0122.wav,回忆叙述
003,那时候生活条件艰苦但过得很开心,那时候生活条件坚苦但过得很开心,BAC009S0724W0123.wav,回忆叙述
004,我退休前在纺织厂工作了三十年,我退休前在纺织厂工作了三零年,BAC009S0724W0124.wav,工作经历
005,孩子们都在外地工作很少回来,孩子们都在外地工作很少回来,BAC009S0724W0125.wav,家庭生活
006,我最怀念的是小时候过年的味道,我最怀念的是小时候过粘的味道,BAC009S0724W0126.wav,情感回忆
007,老伴走后我一个人住有时候会很孤单,老伴走后我一个人住有时候会很孤单,BAC009S0724W0127.wav,情感回忆
008,年轻时最喜欢听邓丽君的歌,年轻时最喜欢听邓丽军的歌,BAC009S0724W0128.wav,娱乐偏好
009,现在智能手机用不太来字太小了,现在智能手机用不太来字太小了,BAC009S0724W0129.wav,科技使用
010,希望有个能陪我聊天的机器人,希望有个能陪我聊天的机器人,BAC009S0724W0130.wav,产品期望
011,小孙子今年上小学三年级,小孙子今年上小学三年纪,BAC009S0724W0131.wav,家庭生活
012,每天早上起来先打一套八段锦,每天早上起来先打一套八段锦,BAC009S0724W0132.wav,生活习惯
013,那时候买东西还要用粮票布票,那时候买东西还要用粮票布票,BAC009S0724W0133.wav,历史回忆
014,高血压药每天都要吃不能忘,高血压药每天都要吃不能忘,BAC009S0724W0134.wav,医疗健康
015,杭州变化太大了以前都是平房,杭州变化太大了以前都是平房,BAC009S0724W0135.wav,居住变迁
016,文革时候下放到农村插队落户,文革时候下放到农村插队落户,BAC009S0724W0136.wav,历史回忆
017,现在退休金够花就是怕生病,现在退休金够花就是怕生病,BAC009S0724W0137.wav,医疗健康
018,儿女们都很孝顺周末会来看我,儿女们都很孝顺周末会来看我,BAC009S0724W0138.wav,家庭生活
019,想把自己的经历写下来留给后人,想把自己的经历写下来留给后人,BAC009S0724W0139.wav,传承意愿
020,记忆力不如从前了经常忘事,记忆力不如从前了经常忘事,BAC009S0724W0140.wav,认知状态
021,社区医院很方便走路十分钟,社区医院很方便走路十分钟,BAC009S0724W0141.wav,医疗健康
022,老年大学报了书法班每周一课,老年大学报了书法班每周一课,BAC009S0724W0142.wav,生活习惯
023,年轻时在供销社上班接触很多人,年轻时在供销社上班接触很多人,BAC009S0724W0143.wav,工作经历
024,老伴是相亲认识的那时候都害羞,老伴是相亲认识的那时候都害羞,BAC009S0724W0144.wav,情感回忆
025,家里老照片都发黄了舍不得扔,家里老照片都发黄了舍不得扔,BAC009S0724W0145.wav,物品叙述
026,春节时一家人团聚最热闹,春节时一家人团聚最热闹,BAC009S0724W0146.wav,节日回忆
027,现在微信视频能看到外地的孙子,现在微信视频能看到外地的孙子,BAC009S0724W0147.wav,科技使用
028,以前骑自行车上班要半个钟头,以前骑自行车上班要半个钟头,BAC009S0724W0148.wav,工作经历
029,身体还算硬朗还能自己做饭,身体还算硬朗还能自己做饭,BAC009S0724W0149.wav,认知状态
030,希望走的时候安详不给子女添麻烦,希望走的时候安详不给子女添麻烦,BAC009S0724W0150.wav,传承意愿
